cleaned_text,emotions,emotion_encoded
im updating blog feel shitty,sadness,4
never make separate ever want feel like ashamed,sadness,4
left bouquet red yellow tulips arm feeling slightly optimistic arrived,joy,2
feeling little vain one,sadness,4
cant walk shop anywhere feel uncomfortable,fear,1
felt anger end telephone call,anger,0
explain clung relationship boy many ways immature uncommitted despite excitement feeling getting accepted masters program university virginia,joy,2
like breathless feeling reader eager see happen next,joy,2
jest feel grumpy tired pre menstrual probably week im fit walrus vacation summer,anger,0
feel particularly agitated,fear,1
feel beautifully emotional knowing women knew handful holding baba journey,sadness,4
pay attention deepens feeling invaded helpless,fear,1
feel extremely comfortable group people dont even need hide,joy,2
find odd position feeling supportive,love,3
feeling heartbroken im sure katniss,sadness,4
feel little mellow today,joy,2
feel like role would tear sails pessimism discontent,sadness,4
feel bcoz fight get mad n u wan na make publicity n let world knows fight,anger,0
feel like reds purples rich kind perfect,joy,2
im sure feeling loss ever go away may dull sweet feeling nostalgia shared life dad luck dad years,sadness,4
feel like ive gotten know many comments emails im appreciative glad part little space,joy,2
survey posts last years feel pleased vague snippets feel little bits capture like someone like dublin st century,joy,2
also tell hopes anyone still feeling stigmatized ashamed mental health issues let go stigma let go shame,sadness,4
feel guilty like going able cook,sadness,4
hate feel fearful absolutely reason,fear,1
feeling outraged shows everywhere,anger,0
stole book one time favorite authors feel like rotten person,sadness,4
feel insecure sometimes doesnt,fear,1
highly recommend visiting wednesday youre able less crowded get ask farmers questions without feeling rude holding line,anger,0
ive missing feeling restless home thinking,fear,1
posted facebook page earlier week ive feeling little grumpy sorts past days,anger,0
start feel emotional,sadness,4
feel cold href http irish,anger,0
feel like defective something baby fever,sadness,4
feel virtuous eat veggies dipped hummus,joy,2
feel honoured included magzine prioritises health clean living highly im curious read magazines concerned health clean lifestyles green parent,joy,2
spent last two weeks school feeling miserable,sadness,4
im feeling peaceful wedding,joy,2
talking coach claudia barcomb coach ali boe long time made feel welcomed union,joy,2
feel completely hated things exercise democratic right speak mind ever ways possible try enact change,anger,0
feel humiliated embarrassed foolish remember others felt way kinds things kind helpful accepting,sadness,4
feel reassured dealing diet right way good,joy,2
feel agree even though imagine rather unpleasant possible cases,sadness,4
im happy mood today feel almost delighted havent done anything different today normally wonderful,joy,2
im feeling really place irritated,anger,0
also know feel nothing friendly affection,joy,2
feel like rather productive weekend cant always say matter much get done,joy,2
im feeling insecure moment,fear,1
feeling pretty anxious day first day work good day helped lot,fear,1
stood finally stood feel like im punished could go back,sadness,4
feel little nervous go gym,fear,1
feel like could go situation become successful competing life explained schaub interview href http bleacherreport,joy,2
stop anxiety feel alone got distractions,sadness,4
im trying feel house style im living creative carte blanche,joy,2
tried see would like liked one girl friends never really worked ever feel emotional connection friends,sadness,4
every intention gardening morning still cool feeling rotten,sadness,4
good feeling excited,joy,2
feel like starting understand blessings come submissive father,sadness,4
think things ive said stuff done makes feel disgusted making happy smile far,anger,0
woke yesterday monday morning feeling little depressed,sadness,4
feel embarrassed,sadness,4
spent wandering around still kinda dazed feeling particularly sociable id hiding couple days getting little unhealthy made go cross hang folks,joy,2
honestly say sistahs chat feel invigorated blessed,joy,2
still feel stupid class cause pbss fault,sadness,4
feel little stunned imagine folks working studio morning feeling,surprise,5
admit im feeling little bit unloved point,sadness,4
feel bit stressed even though things going fun,anger,0
im feeling pretty anxious,fear,1
feel shocked sad fact many sick people,surprise,5
think always proponents idea slightly possible feelings particularly charming new england girl brought around way thinking,joy,2
feel like naughty school girl falling behind,love,3
right handed however play billiards left handed naturally trying play right handed feels weird,surprise,5
feel kind friendly understand feelings,joy,2
go overseas cross border become foreigner feel way never beloved land,love,3
feel disgusted man power talks electricity problem area says even house similar problems,anger,0
feel transcendant splendid,joy,2
finally arrived home couple hours later feeling somewhat exhausted dehydrated even sun burnt,sadness,4
feeling totally relaxed comfy,joy,2
want feel gentle embrace,love,3
feel privileged world,joy,2
people person fuckin reason people feel come bore fuckin petty garbage,anger,0
realized mistake really feeling terrible thinking,sadness,4
suppose feel trusting sometimes,joy,2
came home waiting shower read something made upset thats feel discontent haha,sadness,4
woke feeling crappy tired fighting feeling day maybe pollen barometric pressure dont know know kilter,sadness,4
feel like paradise kissing sweet lips make feel like dive magical world love,joy,2
feeling happy,joy,2
running approximate minute pace feel quite acceptable,joy,2
feel disappointed ex girlfriend call back,sadness,4
feeling people using need enjoying feeling flies carefree tongue alright,joy,2
feeling uncertain merits posting blog frequency earnestness previous year,fear,1
plain feel envious self confidence,anger,0
feeling weird day went away minutes took metformin,fear,1
friend dropped frog neck,anger,0
im feeling angry someone something thoughtful feelings toward soften,anger,0
love neglecting blog sometimes feel faithful readers,love,3
lay bed feeling though awaiting unwelcome visitor nevertheless told strong thought good things felt better,sadness,4
feel heart tortured done,anger,0
still feeling weepy strung maggie treated ice cream movie href http www,sadness,4
feel needy comfortable feel vulnerable secure feel urge cum hard get relief,sadness,4
journaled tendency sometimes overcommit make feel exhausted overwhelmed,sadness,4
started feeling discouraged morning,sadness,4
feel agitated foresee frustrations earlier leading ending relationship,fear,1
grab air smooth frame feels cold touch,anger,0
angry boyfriend promised come see spent evening pals,anger,0
hate sitting hostel writing feeling perfectly fine get home problems wall,joy,2
exercise feel energetic able perform tasks good manner,joy,2
looked mabel morning named left breast mabel right one hazel feel weird mixture anger loss valerie wrote less month diagnosis,fear,1
im feeling pretty disheartened whole thing,sadness,4
feel input valued less potent say irfan pathan,joy,2
feel generous,love,3
even feel little shaky,fear,1
feeling better though dont sound,joy,2
always feel troubled road touring living van recently circus buses place hang hat song lyric,sadness,4
feel world much innocent place,joy,2
feel thoroughly virtuous even daily trip compost bin pleasant experience,joy,2
im feeling anything suspicious really,fear,1
feeling little sentimental today,sadness,4
feel like know starting develop likes dislikes though keen snap evictions seemed pretty pointless first one go returned two webmates made absolutely zero impact missed,joy,2
feel less whiney since sun came sf area,sadness,4
made wonderfull new friend,joy,2
feel almost embarrassed mention single redshank common sandpiper would want mention lone wood sandpiper present waters edge,sadness,4
know easy feel little envious cant tell shouldnt,anger,0
would feel awful whole time,sadness,4
feel mislead someone really really thought knew liked much,love,3
feel like doomed us humans,sadness,4
going check minutes clock screen keeps ticking minutes left feeling bit frantic,fear,1
got sleep could choose woken alarm definitely take anything makes feel groggy,sadness,4
ive boring weeks feeling bit gloomy cause rainy days,sadness,4
feel information vital moving day complete read,joy,2
im feeling generous today heres one may already seen good chuckle,love,3
feel awkward calling one people blue hang rather familiar deeper level kith kin,sadness,4
like feeling get someone even little bit offended offhand remark made,anger,0
get crumble thanks feeling need tell im one fucked,anger,0
controlling growth business every time post work client feel even determined make full time business one day,joy,2
pregnant dean spent rest pregnancy feeling terrified another baby,fear,1
actually feel agitated led terrible day yesterday unable concentrate anything basically piddled day away,anger,0
ed tell know feel shamed eating protein bar breakfast fact ate one makes shameful fact make made hang head tuck tail,sadness,4
feel radiant bright accomplished happy,joy,2
feel refrigerator magnets popular years ago,joy,2
feeling touch deprived happening,sadness,4
feeling apprehensive also wildly excited,fear,1
feeling pretty relaxed time boarded new looking airbus headed hazy sky en route honolulu,joy,2
quiet person say feel important,joy,2
think started feel little homesick,sadness,4
feeling eager start work man works literally says uhm guys want go back see find anything,joy,2
feel uncomfortable since smaller rib cage bigger chest either spilling top tank elastic band support tight loose,fear,1
im feeling reluctant exit freshly cleaned apartment stayed cleaning late last night,fear,1
feel need know depend put position supporting someone else supported someone else,love,3
im feeling rather angsty listless,sadness,4
try best love shed light feel deeply compassionate problems hurt even someone media,love,3
uncomfortable feeling weird feelings sure contractions since never really felt contractions jared jacked pitocin,surprise,5
feel gloomy tired,sadness,4
really like person feel question really asked sincere place love concern move forward light sexuality study recently href http www,joy,2
would force eat normal routine clean meals day started feeling awful,sadness,4
feel rather privileged witnessed great man action really impossible novice like work one four identical looking riders,joy,2
feel like im spa getting wonderful facial use,joy,2
feel petty sudden,anger,0
hope like honest amp raw blog post amp feeling unhappy hope makes feel less alone,sadness,4
feel slightly disgusted well,anger,0
quite surprised weather past days im thankful since still wear shorts without feeling cold yes kidding,anger,0
feel slightly relaxed,joy,2
feel shy admit struggling haul single computer,fear,1
went script would like mustard sauce started feel really startled,fear,1
enjoy colleagues feeling sociable today,joy,2
im feeling ive liked pregnant,love,3
feel tender touch enfold love,love,3
lost people hate really hard time letting go people feel loyal,love,3
interest make effort meet men chance arrises feel burdened negative thoughts another idiot one thing,sadness,4
feel nutritionally supportive well,love,3
feel impatient post blog entry feel ive gotten words written world,anger,0
trying hardest get place join finally feel like something worthwhile say,joy,2
admit feel amused see pti jamiat whole lot others media try avoid suggestion actually protesting use sharia case raymond davis release,joy,2
feel embarrassed got bad,sadness,4
im feeling really bitter one,anger,0
feel brave today heading amman beirut way istanbul feel brave today href http jessicadickinsongoodman,joy,2
fab christmas amazing new year family friends odds feel optimistic,joy,2
feel like loser everyone says lost dont know exactly hate oh,sadness,4
feel defeated others feel refreshed,sadness,4
feeling particularly vulnerable specific area began talking friends interestingly enough incredible understanding struggle,fear,1
go onto officer memorial page reflect feelings wonderful officer seems make feel little better,joy,2
im group people still feel isolated outside looking,sadness,4
feel blessed know family,love,3
feel terrified landlord changed locks yet,fear,1
loosing feel like much share many anything unfortunate anything makes grateful,sadness,4
like eating meals feel virtuous,joy,2
left feeling pretty thrilled opportunity least throw name hat,joy,2
feel kinda weird andrea tries talk chris,fear,1
loved ellie didnt feel insulted rude douche baggy things lothaire said according ellie insults hurt come somebody respect damn straight,anger,0
feel pretty triumphant,joy,2
im enjoying solitary confinement home rarely feel lonely,sadness,4
dramatic feel strongly resolved speak next chance get,joy,2
